Year,Make,Model,Mileage,Transmission_type,Engine_size,Price,Platform
2024,Toyota,Hilux,92313,Manual,2400,"3,105,000",Peach cars
2024,Toyota,Hilux,1709,Automatic,2755,"8,250,000",Peach cars
2024,Toyota,Land Cruiser,1573,Automatic,2750,"17,500,000",Peach cars
2024,Suzuki,Jimny,117,Automatic,1500,"4,300,000",Peach cars
2024,Suzuki,Jimny,1296,Automatic,1500,"4,250,000",Peach cars
2023,Suzuki,Fronx,2004,Automatic,999,"3,600,000",Peach cars
2022,Mitsubishi,Pajero sport,50994,Automatic,2500,"7,940,000",Peach cars
2022,Toyota,Rav4,30914,Automatic,1980,"5,343,000",Peach cars
2019,Toyota,Premio,64189,Automatic,1500,"2,950,000",Peach cars
2019,Toyota,Axio,"80,375",Automatic,1300,"1,750,000",Peach cars
2019,Toyota,Axio,73136,Automatic,1490,"1,850,000",Peach cars
2019,Toyota,Axio,59015,Automatic,1490,"1,900,000",Peach cars
2018,Toyota,Axio,94725,Automatic,1500,"1,825,000",Peach cars
2021,Toyota,Harrier,25469,Automatic,1986,"4,922,000",Peach cars
2020,Toyota,Harrier,31253,Automatic,2000,"5,650,000",Peach cars
2019,Toyota,Harrier,53072,Tiptronic,1980,"4,269,300",Peach cars
2018,Toyota,Harrier,71001,Automatic,1980,"3,890,000",Peach cars
2018,Toyota,Harrier,46709,Automatic,1980,"3,475,000",Peach cars
2018,Toyota,Harrier,9121,Tiptronic,2000,"4,050,000",Peach cars
2018,Toyota,Harrier,24644,Tiptronic,1986,"4,050,000",Peach cars
2018,Toyota,Harrier,62753,Tiptronic,1980,"3,745,000",Peach cars
2019,Toyota,Vitz,109372,Automatic,990,"1,176,000",Peach cars
2019,Toyota,Vitz,84118,Automatic,1000,"1,350,000",Peach cars
2019,Toyota,Vitz,114931,Automatic,990,"1,320,000",Peach cars
2019,Toyota,Vitz,50056,Automatic,1000,"1,500,000",Peach cars
2018,Toyota,Vitz,85735,Automatic,990,"1,350,000",Peach cars
2018,Toyota,Vitz,43558,Automatic,1300,"1,500,000",Peach cars
2018,Toyota,Vitz,22764,Automatic,1300,"1,500,000",Peach cars
2018,Toyota,Vitz,86002,Automatic,1500,"1,500,000",Peach cars
2018,Toyota,Vitz,41234,Automatic,1300,"1,500,000",Peach cars
2018,Toyota,Vitz,86161,Automatic,1300,"1,525,000",jiji cars
2018,Toyota,Aqua,57850,Automatic,1500,"1,750,000",jiji cars
2019,Toyota,Passo,26190,Automatic,1000,"1,200,000",jiji cars
2019,Toyota,Passo,114540,Automatic,1000,"1,064,000",jiji cars
2019,Toyota,Passo,131818,Automatic,990,"1,008,000",jiji cars
2018,Toyota,Passo,31744,Automatic,1000,"1,250,000",jiji cars
2019,Toyota,Sienta,111519,Automatic,1490,"1,700,000",jiji cars
2019,Toyota,Sienta,129175,Tiptronic,1500,"1,900,000",jiji cars
2019,Toyota,Sienta,49204,Automatic,1500,"1,800,000",jiji cars
2018,Toyota,Sienta,171421,Automatic,1490,"1,775,000",jiji cars
2019,Toyota,Noah,108525,Automatic,1980,"2,880,000",jiji cars
2018,Toyota,Noah,63063,Automatic,2000,"3,400,000",jiji cars
2018,Toyota,Noah,74323,Automatic,1797,"3,320,000",jiji cars
2020,Toyota,Probox,147767,Automatic,1490,"1,525,000",jiji cars
2019,Toyota,Probox,127334,Automatic,1490,"1,489,000",jiji cars
2018,Toyota,Probox,142621,Automatic,1500,"1,379,310",jiji cars
2018,Toyota,Probox,174004,Automatic,1320,"1,450,000",jiji cars
2018,Toyota,Probox,112828,Automatic,1500,"1,325,000",jiji cars
2018,Toyota,Probox,105,Automatic,1300,"1,450,000",jiji cars
2020,Mazda,Demio,80930,Automatic,1500,"1,450,000",jiji cars
2019,Mazda,Demio,78047,Automatic,1500,"1,480,000",jiji cars
2019,Mazda,Demio,57917,Tiptronic,1500,"1,440,000",jiji cars
2019,Mazda,Demio,79234,Automatic,1500,"1,400,000",jiji cars
2019,Mazda,Demio,37051,Tiptronic,1500,"1,490,000",jiji cars
2019,Mazda,Demio,11948,Tiptronic,1500,"1,570,000",jiji cars
2019,Mazda,Demio,74168,Automatic,1490,"1,332,800",Peach cars
2019,Mazda,Demio,115038,Automatic,1260,"1,120,000",Peach cars
2018,Mazda,Demio,49822,Automatic,1500,"1,480,000",Peach cars
2018,Mazda,Demio,47851,Automatic,1300,"1,390,000",Peach cars
2018,Mazda,Demio,62473,Automatic,1300,"1,450,000",Peach cars
2018,Mazda,Demio,118047,Automatic,1290,"1,344,000",Peach cars
2019,Mazda,Axela,77407,Automatic,1500,"2,350,000",Peach cars
2019,Mazda,Axela,50528,Automatic,1490,"2,072,000",Peach cars
2018,Mazda,Axela,52829,Tiptronic,1500,"1,985,000",Peach cars
2018,Mazda,Axela,117502,Tiptronic,1590,"1,680,000",Peach cars
2018,Mazda,Axela,74804,Tiptronic,1500,"2,100,000",Peach cars
2018,Mazda,Axela,87344,Tiptronic,1490,"2,230,000",Peach cars
2018,Mazda,Axela,52817,Tiptronic,1500,"2,050,000",Peach cars
2020,Mazda,Cx-5 ,86544,Automatic,2000,"3,500,000",Peach cars
2019,Mazda,Cx-5 ,99421,Automatic,2180,"3,217,500",Peach cars
2019,Mazda,Cx-5 ,47644,Automatic,2180,"3,531,000",Peach cars
2018,Mazda,Cx-5 ,73253,Automatic,1990,"2,942,000",Peach cars
2018,Mazda,Cx-5 ,202970,Manual,2180,"2,350,000",Peach cars
2108,Mazda,Cx-5 ,86980,Automatic,2180,"3,000,000",Peach cars
2018,Mazda,Cx-5 ,31986,Automatic,1990,"3,350,000",Peach cars
2018,Mazda,Cx-5 ,76635,Automatic,2480,"3,300,000",Peach cars
2018,Mazda,Cx-5 ,75815,Automatic,2180,"3,450,000",Peach cars
2018,Mazda,Cx-5 ,69316,Automatic,2000,"3,150,000",Peach cars
2019,Mazda,Cx-3,58927,Automatic,2000,"2,450,000",Peach cars
2019,Mazda,Cx-3,84000,Automatic,1750,"2,500,000",Peach cars
2018,Mazda,Cx-3,122,Automatic,1500,"2,190,000",Peach cars
2018,Mazda,Cx-3,89655,Automatic,1800,"2,250,000",Peach cars
2018,Mazda,Cx-3,127301,Automatic,1498,"2,320,000",Peach cars
2019,Honda,Fit,73237,Automatic,1317,"1,680,000",Peach cars
2018,Honda,Fit,136311,Automatic,1300,"1,722,000",Peach cars
2018,Honda,Fit,44082,Automatic,1500,"1,750,000",Peach cars
2019,Honda,Vezel,49728,Automatic,1490,"2,700,000",Peach cars
2019,Honda,Vezel,"71,444",Automatic,1500,"2,750,000",Peach cars
2019,Honda,Vezel,161357,Automatic,1500,"2,950,000",Peach cars
2019,Honda,Vezel,7834,Automatic,1500,"2,835,000",Peach cars
2018,Honda,Vezel,88718,Automatic,1490,"2,870,000",Peach cars
2018,Honda,Vezel,130797,Automatic,1500,"2,350,000",Peach cars
2018,Honda,Vezel,85685,Automatic,1500,"2,650,000",Peach cars
2018,Honda,Vezel,93649,Automatic,1500,"2,750,000",Peach cars
2018,Honda,Vezel,116198,Automatic,1490,"2,352,000",Peach cars
2018,Honda,Vezel,159829,Automatic,1490,"2,350,000",Peach cars
2018,Honda,Cr-V,46424,Automatic,2000,"4,650,000",Peach cars
2019,Honda,Shuttle,147854,Tiptronic,1500,"1,890,000",Peach cars
2018,Honda,Shuttle,89029,Automatic,1490,"1,849,998",Peach cars
2021,Nissan,Note,126182,Automatic,1190,"1,700,000",Peach cars
2021,Nissan,Note,95764,Automatic,1190,"1,700,000",Peach cars
2020,Nissan,Note,85415,Tiptronic,1200,"1,490,000",Peach cars
2020,Nissan,Note,70642,Tiptronic,1200,"1,450,00",Peach cars
2020,Nissan,Note,105384,Automatic,1190,"1,456,000",Peach cars
2019,Nissan,Note,95633,Automatic,1200,"1,026,000",Peach cars
2019,Nissan,Note,49770,Automatic,1190,"1,590,000",Peach cars
2019,Nissan,Note,69503,Automatic,1200,"1,350,000",Peach cars
2019,Nissan,Note,27716,Tiptronic,1200,"1,350,000",Peach cars
2019,Nissan,Note,97323,Automatic,1200,"1,300,000",Peach cars
2019,Nissan,Note,39936,Automatic,1200,"1,300,000",Peach cars
2019,Nissan,Note,75630,Automatic,1200,"1,400,000",Peach cars
2018,Nissan,Note,66101,Automatic,1300,"1,400,000",Peach cars
2018,Nissan,Note,77574,Automatic,1198,"1,400,000",Peach cars
2019,Nissan,Dayz,97346,Automatic,650,"1,026,000",Peach cars
2019,Nissan,Dayz,138384,Automatic,650,"856,000",Peach cars
2019,Nissan,Dayz,189512,Automatic,650,"850,000",Peach cars
2018,Nissan,Dayz,10572,Automatic,650,"840,000",Peach cars
2018,Nissan,Dayz,92726,Automatic,660,"950,000",Peach cars
2018,Nissan,Serena,171946,Automatic,1990,"1,904,000",Peach cars
2018,Nissan,Serena,88385,Automatic,1990,"2,150,000",Peach cars
2018,Nissan,Serena,107238,Automatic,1990,"2,200,000",Peach cars
2018,Nissan,Serena,76358,Automatic,1990,"2,050,000",Peach cars
2018,Nissan,Serena,190994,Automatic,1990,"2,000,000",Peach cars
2018,Nissan,Serena,189942,Automatic,1990,"1,850,000",Peach cars
2021,Subaru,Forester,44133,Tiptronic,2000,"5,600,000",Peach cars
2018,Subaru,Forester,131152,Automatic,2000,"3,600,000",Peach cars
2018,Subaru,Forester,104168,Automatic,2500,"3,849,000",Peach cars
2018,Subaru,Forester,51590,Automatic,1990,"3,300,000",Peach cars
2018,Subaru,Forester,68386,Automatic,2000,"3,500,000",Peach cars
2018,Subaru,Forester,120591,Automatic,2490,"3,700,000",Peach cars
2018,Subaru,Forester,59743,Automatic,2000,"3,150,000",Peach cars
2018,Subaru,Forester,62702,Tiptronic,1998,"2,900,000",Peach cars
2018,Subaru,Xv,35047,Tiptronic,1600,"2,700,000",Peach cars
2019,Subaru,Impreza,112777,Tiptronic,1600,"1,920,000",Peach cars
2019,Subaru,Impreza,126080,Automatic,1590,"1,950,000",Peach cars
2018,Subaru,Impreza,85662,Automatic,2000,"2,300,000",Peach cars
2018,Subaru,Impreza,75661,Automatic,1599,"2,000,000",Peach cars
2018,Mitsubishi,Outlander,79523,Tiptronic,1990,"3,000,000",Peach cars
